species_group,entity_slug,page_type,file_path,clean_url_http_status,html_url_http_status,html_to_clean_redirect_status,canonical_href,canonical_ok,og_image,og_image_ok,hero_img_src,hero_img_ok,top_picks_table_rows,has_buyer_guidance,has_best_for_section,has_disclaimer,has_related_links,faq_schema_count,faq_schema_ok,links_to_parent_count,links_to_companion_count,terminology_ok,PASS_FAIL,fail_reasons
dogs,affenpinscher,best-enrichment,commercial/dogs/affenpinscher/best-enrichment.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/affenpinscher/best-enrichment,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,5,true,true,true,true,5,true,2,8,true,PASS,
dogs,affenpinscher,best-food,commercial/dogs/affenpinscher/best-food.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/affenpinscher/best-food,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,5,true,true,true,true,5,true,2,8,true,PASS,
dogs,affenpinscher,best-habitat-size,commercial/dogs/affenpinscher/best-habitat-size.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/affenpinscher/best-habitat-size,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,5,true,true,true,true,5,true,2,8,true,PASS,
dogs,affenpinscher,best-insurance,commercial/dogs/affenpinscher/best-insurance.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/affenpinscher/best-insurance,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,5,true,true,true,true,5,true,2,8,true,PASS,
dogs,affenpinscher,cost-to-own,commercial/dogs/affenpinscher/cost-to-own.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/affenpinscher/cost-to-own,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,5,true,true,true,true,5,true,2,8,true,PASS,
dogs,affenpinscher,first-time-owners,commercial/dogs/affenpinscher/first-time-owners.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/affenpinscher/first-time-owners,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,5,true,true,true,true,5,true,2,8,true,PASS,
dogs,affenpinscher,health-costs,commercial/dogs/affenpinscher/health-costs.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/affenpinscher/health-costs,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,5,true,true,true,true,5,true,2,8,true,PASS,
dogs,affenpinscher,comparison,commercial/dogs/affenpinscher/vs-afghan-hound.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/affenpinscher/vs-afghan-hound,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,5,true,true,true,true,4,true,3,11,true,PASS,
dogs,affenpinscher,comparison,commercial/dogs/affenpinscher/vs-airedale-terrier.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/affenpinscher/vs-airedale-terrier,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/800px-Affenpinscher.jpg,true,5,true,true,true,true,4,true,3,11,true,PASS,
dogs,afghan-hound,best-enrichment,commercial/dogs/afghan-hound/best-enrichment.html,200 (file exists),301 (redirect rule),301 single-hop,https://petcarehelperai.com/commercial/dogs/afghan-hound/best-enrichment,true,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Afghan_dog_-_cropped.jpg/800px-Afghan_dog_-_cropped.jpg,true,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Afghan_dog_-_cropped.jpg/800px-Afghan_dog_-_cropped.jpg,true,5,true,true,true,true,5,true,2,8,true,PASS,
